rank,ticker,company,weight,sector,sub_industry
416,CDW,CDW Corp/DE,0.03,Information Technology,Technology Distributors
381,AKAM,Akamai Technologies Inc,0.03,Information Technology,Internet Services & Infrastructure
366,CPAY,Corpay Inc,0.03,Financials,Transaction & Payment Processing Services
371,CMS,CMS Energy Corp,0.03,Utilities,Multi-Utilities
380,SW,Smurfit WestRock PLC,0.03,Materials,Paper & Plastic Packaging Products & Materials
399,DD,DuPont de Nemours Inc,0.03,Materials,Specialty Chemicals
415,AMCR,Amcor PLC,0.03,Materials,Paper & Plastic Packaging Products & Materials
389,TSN,Tyson Foods Inc,0.03,Consumer Staples,Packaged Foods & Meats
394,ULTA,Ulta Beauty Inc,0.03,Consumer Discretionary,Other Specialty Retail
388,CHRW,CH Robinson Worldwide Inc,0.03,Industrials,Air Freight & Logistics
414,BR,Broadridge Financial Solutions Inc,0.03,Industrials,Data Processing & Outsourced Services
363,TROW,T Rowe Price Group Inc,0.03,Financials,Asset Management & Custody Banks
361,CHD,Church & Dwight Co Inc,0.03,Consumer Staples,Household Products
413,CF,CF Industries Holdings Inc,0.03,Materials,Fertilizers & Agricultural Chemicals
391,STE,STERIS PLC,0.03,Health Care,Health Care Equipment
362,DRI,Darden Restaurants Inc,0.03,Consumer Discretionary,Restaurants
397,SNA,Snap-on Inc,0.03,Industrials,Industrial Machinery & Supplies & Components
390,EFX,Equifax Inc,0.03,Industrials,Research & Consulting Services
367,ROL,Rollins Inc,0.03,Industrials,Environmental & Facilities Services
385,EXPD,Expeditors International of Washington Inc,0.03,Industrials,Air Freight & Logistics
398,EVRG,Evergy Inc,0.03,Utilities,Electric Utilities
378,RL,Ralph Lauren Corp,0.03,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
375,EXE,Expand Energy Corp,0.03,Energy,Oil & Gas Exploration & Production
374,FFIV,F5 Inc,0.03,Information Technology,Communications Equipment
405,ESS,Essex Property Trust Inc,0.03,Real Estate,Multi-Family Residential REITs
383,FIS,Fidelity National Information Services Inc,0.03,Financials,Transaction & Payment Processing Services
409,GIS,General Mills Inc,0.03,Consumer Staples,Packaged Foods & Meats
396,PKG,Packaging Corp of America,0.03,Materials,Paper & Plastic Packaging Products & Materials
368,PHM,PulteGroup Inc,0.03,Consumer Discretionary,Homebuilding
410,IP,International Paper Co,0.03,Materials,Paper & Plastic Packaging Products & Materials
379,LH,Labcorp Holdings Inc,0.03,Health Care,Health Care Services
411,LII,Lennox International Inc,0.03,Industrials,Building Products
401,LNT,Alliant Energy Corp,0.03,Utilities,Electric Utilities
370,LEN,Lennar Corp,0.03,Consumer Discretionary,Homebuilding
377,SBAC,SBA Communications Corp,0.03,Real Estate,Telecom Tower REITs
