rank,ticker,company,weight,sector,sub_industry
164,COHR,Coherent,0.11,Information Technology,Electronic Components
155,VLO,Valero Energy Corp,0.11,Energy,Oil & Gas Refining & Marketing
172,CTAS,Cintas Corp,0.11,Industrials,Diversified Support Services
169,ECL,Ecolab Inc,0.11,Materials,Specialty Chemicals
159,SHW,Sherwin-Williams Co/The,0.11,Materials,Specialty Chemicals
161,EOG,EOG Resources Inc,0.11,Energy,Oil & Gas Exploration & Production
173,CRH,CRH PLC,0.11,Materials,Construction Materials
157,RCL,Royal Caribbean Cruises Ltd,0.11,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
167,ROST,Ross Stores Inc,0.11,Consumer Discretionary,Apparel Retail
170,MPWR,Monolithic Power Systems Inc,0.11,Information Technology,Semiconductors
168,ITW,Illinois Tool Works Inc,0.11,Industrials,Industrial Machinery & Supplies & Components
166,PSX,Phillips 66,0.11,Energy,Oil & Gas Refining & Marketing
160,NXPI,NXP Semiconductors NV,0.11,Information Technology,Semiconductors
171,BSX,Boston Scientific Corp,0.11,Health Care,Health Care Equipment
162,HOOD,Robinhood Markets Inc,0.11,Financials,Investment Banking & Brokerage
163,GM,General Motors Co,0.11,Consumer Discretionary,Automobile Manufacturers
175,NSC,Norfolk Southern Corp,0.11,Industrials,Rail Transportation
165,APO,Apollo Global Management Inc,0.11,Financials,Asset Management & Custody Banks
158,ORLY,O'Reilly Automotive Inc,0.11,Consumer Discretionary,Automotive Retail
180,CIEN,Ciena,0.1,Information Technology,Communications Equipment
190,FIX,Comfort Systems USA Inc,0.1,Industrials,Construction & Engineering
179,TDG,TransDigm Group Inc,0.1,Industrials,Aerospace & Defense
178,AON,Aon PLC,0.1,Financials,Insurance Brokers
185,REGN,Regeneron Pharmaceuticals Inc,0.1,Health Care,Biotechnology
186,URI,United Rentals Inc,0.1,Industrials,Trading Companies & Distributors
187,WBD,Warner Bros Discovery Inc,0.1,Communication Services,Broadcasting
183,DASH,DoorDash Inc,0.1,Consumer Discretionary,Specialized Consumer Services
188,DLR,Digital Realty Trust Inc,0.1,Real Estate,Data Center REITs
182,SPG,Simon Property Group Inc,0.1,Real Estate,Retail REITs
176,KMI,Kinder Morgan Inc,0.1,Energy,Oil & Gas Storage & Transportation
177,AEP,American Electric Power Co Inc,0.1,Utilities,Electric Utilities
184,LITE,Lumentum Holdings,0.1,Information Technology,Communications Equipment
192,NKE,NIKE Inc,0.1,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
181,MSI,Motorola Solutions Inc,0.1,Information Technology,Communications Equipment
191,TRV,Travelers Cos Inc/The,0.1,Financials,Property & Casualty Insurance
189,HPE,Hewlett Packard Enterprise Co,0.1,Information Technology,"Technology Hardware, Storage & Peripherals"
200,SRE,Sempra,0.09,Utilities,Multi-Utilities
202,F,Ford Motor Co,0.09,Consumer Discretionary,Automobile Manufacturers
193,RSG,Republic Services Inc,0.09,Industrials,Environmental & Facilities Services
203,D,Dominion Energy Inc,0.09,Utilities,Multi-Utilities
197,GWW,WW Grainger Inc,0.09,Industrials,Industrial Machinery & Supplies & Components
201,AFL,Aflac Inc,0.09,Financials,Life & Health Insurance
205,LHX,L3Harris Technologies Inc,0.09,Industrials,Aerospace & Defense
199,PCAR,PACCAR Inc,0.09,Industrials,Construction Machinery & Heavy Transportation Equipment
204,NUE,Nucor Corp,0.09,Materials,Steel
198,TFC,Truist Financial Corp,0.09,Financials,Diversified Banks
195,TEL,TE Connectivity PLC,0.09,Information Technology,Electronic Manufacturing Services
196,BKR,Baker Hughes Co,0.09,Energy,Oil & Gas Equipment & Services
194,APD,Air Products and Chemicals Inc,0.09,Materials,Industrial Gases
226,EA,Electronic Arts Inc,0.08,Communication Services,Interactive Home Entertainment
224,DVN,Devon Energy Corp,0.08,Energy,Oil & Gas Exploration & Production
225,AZO,AutoZone Inc,0.08,Consumer Discretionary,Automotive Retail
213,CARR,Carrier Global Corp,0.08,Industrials,Building Products
217,PSA,Public Storage,0.08,Real Estate,Self-Storage REITs
207,OXY,Occidental Petroleum Corp,0.08,Energy,Oil & Gas Exploration & Production
211,TER,Teradyne Inc,0.08,Information Technology,Semiconductor Materials & Equipment
212,TGT,Target Corp,0.08,Consumer Staples,Consumer Staples Merchandise Retail
219,FAST,Fastenal Co,0.08,Industrials,Trading Companies & Distributors
216,FANG,Diamondback Energy Inc,0.08,Energy,Oil & Gas Exploration & Production
215,AJG,Arthur J Gallagher & Co,0.08,Financials,Insurance Brokers
208,O,Realty Income Corp,0.08,Real Estate,Retail REITs
227,ODFL,Old Dominion Freight Line Inc,0.08,Industrials,Cargo Ground Transportation
214,OKE,ONEOK Inc,0.08,Energy,Oil & Gas Storage & Transportation
210,KEYS,Keysight Technologies Inc,0.08,Information Technology,Electronic Equipment & Instruments
220,MET,MetLife Inc,0.08,Financials,Life & Health Insurance
218,AME,AMETEK Inc,0.08,Industrials,Electrical Components & Equipment
209,ALL,Allstate Corp/The,0.08,Financials,Property & Casualty Insurance
223,CTVA,Corteva Inc,0.08,Materials,Fertilizers & Agricultural Chemicals
222,DAL,Delta Air Lines Inc,0.08,Industrials,Passenger Airlines
221,COR,Cencora Inc,0.08,Health Care,Health Care Distributors
206,TRGP,Targa Resources Corp,0.08,Energy,Oil & Gas Storage & Transportation
239,FITB,Fifth Third Bancorp,0.07,Financials,Regional Banks
242,ON,ON Semiconductor Corp,0.07,Information Technology,Semiconductors
240,EXC,Exelon Corp,0.07,Utilities,Electric Utilities
230,ROK,Rockwell Automation Inc,0.07,Industrials,Electrical Components & Equipment
233,EW,Edwards Lifesciences Corp,0.07,Health Care,Health Care Equipment
229,ETR,Entergy Corp,0.07,Utilities,Electric Utilities
234,EBAY,eBay Inc,0.07,Consumer Discretionary,Broadline Retail
244,STT,State Street Corp,0.07,Financials,Asset Management & Custody Banks
238,CVNA,Carvana Co,0.07,Consumer Discretionary,Automotive Retail
235,ADSK,Autodesk Inc,0.07,Information Technology,Application Software
245,WAB,Westinghouse Air Brake Technologies Corp,0.07,Industrials,Construction Machinery & Heavy Transportation Equipment
228,VST,Vistra Corp,0.07,Utilities,Electric Utilities
232,NDAQ,Nasdaq Inc,0.07,Financials,Financial Exchanges & Data
236,MCHP,Microchip Technology Inc,0.07,Information Technology,Semiconductors
237,CAH,Cardinal Health Inc,0.07,Health Care,Health Care Distributors
243,MSCI,MSCI Inc,0.07,Financials,Financial Exchanges & Data
246,IDXX,IDEXX Laboratories Inc,0.07,Health Care,Health Care Equipment
231,XEL,Xcel Energy Inc,0.07,Utilities,Multi-Utilities
241,GRMN,Garmin Ltd,0.07,Consumer Discretionary,Consumer Electronics
262,KR,Kroger Co/The,0.06,Consumer Staples,Food Retail
274,LYV,Live Nation Entertainment Inc,0.06,Communication Services,Movies & Entertainment
257,TTWO,Take-Two Interactive Software Inc,0.06,Communication Services,Interactive Home Entertainment
275,WEC,WEC Energy Group Inc,0.06,Utilities,Electric Utilities
261,VTR,Ventas Inc,0.06,Real Estate,Health Care REITs
254,XYZ,Block Inc,0.06,Financials,Transaction & Payment Processing Services
265,STLD,Steel Dynamics Inc,0.06,Materials,Steel
258,ED,Consolidated Edison Inc,0.06,Utilities,Multi-Utilities
251,DHI,DR Horton Inc,0.06,Consumer Discretionary,Homebuilding
249,YUM,Yum! Brands Inc,0.06,Consumer Discretionary,Restaurants
259,ADM,Archer-Daniels-Midland Co,0.06,Consumer Staples,Agricultural Products & Services
266,A,Agilent Technologies Inc,0.06,Health Care,Life Sciences Tools & Services
264,CBRE,CBRE Group Inc,0.06,Real Estate,Real Estate Services
273,IRM,Iron Mountain Inc,0.06,Real Estate,Other Specialized REITs
272,JBL,Jabil Inc,0.06,Information Technology,Electronic Manufacturing Services
270,HSY,Hershey Co/The,0.06,Consumer Staples,Packaged Foods & Meats
248,HUM,Humana Inc,0.06,Health Care,Managed Health Care
253,AMP,Ameriprise Financial Inc,0.06,Financials,Asset Management & Custody Banks
260,PEG,Public Service Enterprise Group Inc,0.06,Utilities,Electric Utilities
269,CMG,Chipotle Mexican Grill Inc,0.06,Consumer Discretionary,Restaurants
268,PCG,PG&E Corp,0.06,Utilities,Multi-Utilities
267,CCL,Carnival Corp,0.06,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
252,CCI,Crown Castle Inc,0.06,Real Estate,Telecom Tower REITs
255,COIN,Coinbase Global Inc,0.06,Financials,Financial Exchanges & Data
263,AXON,Axon Enterprise Inc,0.06,Industrials,Aerospace & Defense
271,IBKR,Interactive Brokers Group Inc,0.06,Financials,Investment Banking & Brokerage
250,KDP,Keurig Dr Pepper Inc,0.06,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
247,BDX,Becton Dickinson & Co,0.06,Health Care,Health Care Equipment
256,AIG,American International Group Inc,0.06,Financials,Multi-line Insurance
288,EQT,EQT Corp,0.05,Energy,Oil & Gas Exploration & Production
302,EXR,Extra Space Storage Inc,0.05,Real Estate,Self-Storage REITs
298,ACGL,Arch Capital Group Ltd,0.05,Financials,Property & Casualty Insurance
282,WAT,Waters Corp,0.05,Health Care,Life Sciences Tools & Services
277,VMC,Vulcan Materials Co,0.05,Materials,Construction Materials
293,ZTS,Zoetis Inc,0.05,Health Care,Pharmaceuticals
289,SATS,EchoStar,0.05,Communication Services,Wireless Telecommunication Services
290,ROP,Roper Technologies Inc,0.05,Information Technology,Electronic Equipment & Instruments
276,EME,EMCOR Group Inc,0.05,Industrials,Construction & Engineering
303,AEE,Ameren Corp,0.05,Utilities,Multi-Utilities
281,SYY,Sysco Corp,0.05,Consumer Staples,Food Distributors
283,PAYX,Paychex Inc,0.05,Industrials,Human Resource & Employment Services
297,MTB,M&T Bank Corp,0.05,Financials,Regional Banks
294,NTAP,NetApp Inc,0.05,Information Technology,"Technology Hardware, Storage & Peripherals"
299,NTRS,Northern Trust Corp,0.05,Financials,Asset Management & Custody Banks
280,PRU,Prudential Financial Inc,0.05,Financials,Life & Health Insurance
300,CNC,Centene Corp,0.05,Health Care,Managed Health Care
